"xm1","ym1","zm1"
672,403,11
1489,406,11
914,458,11
746,468,11
1176,484,11
1242,526,11
987,529,11
1217,549,11
1371,565,11
1281,606,11
1397,633,11
1346,715,11
159,739,11
203,784,11
1001,794,11
992,808,11
1424,872,11
163,914,11
435,1011,11
525,1025,11
1021,1036,11
1460,1104,11
378,1183,11
1192,1234,11
691,1251,11
1221,1267,11
788,1270,11
583,1286,11
115,1309,11
1386,1341,11
166,1361,11
698,1369,11
672,1391,11
1061,1426,11
1038,1437,11
1382,1466,11
520,1487,11
1204,1498,11
140,1521,11
833,1523,11
695,1570,11
480,1580,11
804,1596,11
1078,1621,11
672,1638,11
600,1641,11
562,1651,11
283,1689,11
1043,1696,11
427,1712,11
284,1723,11
905,1774,11
656,1813,11
1004,1823,11
899,1859,11
967,1859,11
983,1888,11
852,1965,11
1149,1996,11
541,2003,11
315,2009,11
1376,2056,11
1179,2069,11
1314,2076,11
748,2154,11
893,2174,11
411,2211,11
304,2214,11
899,2311,11
494,2336,11
591,2341,11
881,2348,11
1243,2348,11
1157,2383,11
1120,2384,11
840,2397,11
504,2404,11
857,2414,11
753,2426,11
932,2456,11
902,2514,11
1373,2534,11
915,2546,11
175,2625,11
576,2648,11
1156,2657,11
1450,2671,11
1132,2675,11
395,2793,11
1356,2821,11
1360,2838,11
566,2851,11
338,2883,11
517,2937,11
958,3064,11
656,3071,11
1096,3081,11
1138,3131,11
473,3192,11
287,3212,11
1078,3244,11
597,3268,11
1446,3288,11
538,3289,11
1214,3351,11
682,3358,11
719,3405,11
823,3411,11
1347,3455,11
1174,3474,11
777,3483,11
509,3514,11
834,3519,11
1084,3542,11
610,3570,11
619,3585,11
1267,3609,11
307,3620,11
1412,3620,11
482,3624,11
853,3626,11
1085,3636,11
255,3664,11
1271,3680,11
1052,3692,11
534,3739,11
116,3791,11
582,3828,11
923,3841,11
1200,3841,11
564,3848,11
1302,3901,11
312,3918,11
1152,3930,11
769,3933,11
710,3999,11
1012,4024,11
1370,4025,11
106,4052,11
