"synapsinR_7thA","synapsinGP_5thA","VGluT1_3rdA","VGluT1_8thA","VGluT2_2ndA","psd_8thA","GluR2_2ndA","NMDAR1_6thA","NR2B_9thA","NOS_9thA","Synpod_3rdA","GAD_6thA","VGAT_5thA","PV_1stA","gephyrin_1stA","GABARa1_4thA","GABABR1_3rdA","VGluT3_1stA","CR1_2ndA","TH_5thA","VAChT_4thA","tubulin_8thA","dapi_1stA"
1331526,1560353,1193861,1857144,643810,1192566,1370905,1613738,1253033,1652134,602215,1319239,1417455,1288375,813835,1134446,1440092,1844002,1456480,1426595,785009,1069541,859750
922747,1323938,1383098,2001544,619674,1315996,1098980,1544620,1187225,1684539,600613,779555,1019720,1090764,754013,929911,1364364,1759021,1432808,1334010,1101734,2006549,830851
812909,1271634,1490275,2430684,611107,1379179,1085062,1800848,1441066,2085093,570197,932558,948838,1134572,794034,970023,1477757,1787770,1476550,1402911,878432,762585,862833
2811239,2349019,2321501,2868804,686775,1757584,1260983,1775740,1245840,1768874,405006,964062,953048,1221995,804918,1026201,1458865,1792215,1512096,1391232,718309,939571,838879
777017,1109011,1148673,1691367,596385,1221824,1050578,1527532,1197138,1666264,499388,831604,829390,1031268,821401,1113555,1282771,1626287,1306278,1363254,788964,1058919,776327
901675,1347206,1468758,1857721,631614,1316204,1220893,1742430,1231737,1652478,461598,1374069,1135536,1347174,966587,1216155,1499134,1764896,1509649,1419272,802490,1397236,827291
616531,1131912,980900,1524185,639968,1137538,1040406,1691467,1204510,1589155,464338,859298,913030,1412164,763809,1060815,1508064,1846696,1568730,1409493,749448,820073,863255
1000810,1339228,1549239,2078356,620447,1230285,994322,1487210,1104992,1482044,400497,979507,1103386,1053859,804827,936689,1360416,1688425,1479613,1317616,695672,969814,825150
1024667,1254172,1383099,2090229,707281,1375437,1921844,1793058,1354437,1638909,417065,905558,911751,1034289,774344,979090,1356090,1763278,1459095,1390177,780500,806843,839431
1507511,1574573,1525022,1905614,634129,1252650,1071736,1453027,1131850,1441395,544966,772762,898661,1061273,751079,932151,1401539,1566555,1297239,1312508,705661,659403,743908
897441,1425696,1473475,2090447,626681,1162023,1335595,1529564,1149130,1525530,799330,913355,968919,1064671,845124,983263,1385200,1711375,1466891,1292519,794134,1266487,777335
1104844,1558523,1670541,2352298,645876,1286785,1151932,1629357,1202842,1487055,416891,981160,993407,1043594,833212,908366,1384508,1681449,1410109,1360402,746995,1227095,804075
1315780,1185670,1713496,1420869,597138,714645,1109044,1306145,1241116,1447227,482242,815762,621329,1200355,799987,708632,1487174,1606496,1288607,1076378,522336,484809,809648
1572167,1705091,1820175,2340312,607280,1534363,1260066,1670056,1188341,1548320,669564,774386,964761,1035021,986322,955655,1520719,1728476,1359231,1388884,818383,830297,806946
634779,990175,1117817,1586002,583410,1055344,1062840,1445589,1069959,1454175,477428,707160,998844,966055,733791,853392,1308630,1584157,1285834,1269009,702449,645944,737253
1197821,1252667,1552083,2006890,603724,1310218,1123581,1641114,1101356,1556926,425548,846878,954137,1027209,754014,953256,1484581,1646798,1337102,1377502,683499,788700,784762
1429037,1685936,1684254,2166244,660453,1213569,1290278,1701481,1353004,1613964,392118,2138048,1337861,1322215,782869,939805,1444206,1750232,1464445,1326101,738429,903394,829267
1378934,1734921,1698977,2314289,593538,1255253,1239056,1521547,1140396,1504782,443993,1798678,1451735,1177318,924077,1150611,1425951,1593721,1366086,1301222,797049,727522,761625
1037161,1410325,1433607,1798473,680698,1086716,1102930,1444586,1191796,1473886,405952,1142644,957046,1264799,810258,1135440,1320895,1674705,1324337,1236526,682600,764158,807309
1511609,1658270,1345148,1941407,634160,1133777,1311643,1685221,1363069,1486240,453594,3030122,1435819,1171307,1152913,976583,1388373,1594271,1462714,1267169,733311,638295,778230
863901,1208184,1304017,1891046,597644,1405861,1254701,1619857,1259056,1591365,555223,1071490,933280,1015708,1112097,1006462,1379653,1652275,1355303,1315251,705362,729821,1737449
1195974,1457766,1350076,1892391,598950,1177533,1177369,1521753,1106087,1476171,412565,1405989,1004509,1149898,913276,1003366,1339007,1595934,1431124,1278589,721690,873012,770830
1595712,1738912,1844274,2187264,626592,1370614,1134700,1824250,1352159,1486136,426544,777765,880474,1145005,864442,913610,1429062,1734903,1412598,1410443,748432,635313,832288
870920,1198642,1388257,1845302,637988,1229337,1291186,1442646,1258158,1591326,1353626,821919,869150,1830619,850492,881305,1380647,1748000,1329252,1325733,836764,806765,780379
656607,1071505,1494407,1741149,611189,1058115,1069748,1461040,1057632,1544280,415305,785360,822831,1069919,823614,927663,1408391,1627016,1329911,1226650,751557,880194,763154
1546414,1533108,1948692,2325017,666068,1405352,1418611,1596140,1278535,1677225,503351,1024000,984037,1177033,889744,957385,1513588,1700430,1516494,1392891,875360,899450,818857
554306,664439,1223247,586950,570042,417738,997339,994579,1178986,1516530,427059,418143,419229,1058937,740434,544567,1390734,1670536,1257510,668918,361743,194078,821336
886858,1191351,1497852,1979610,615759,1229984,1067563,1514724,1124904,1645394,484490,845972,1050623,887013,677603,993070,1458907,1580458,1465972,1316384,722146,906819,711203
1023577,1343719,1439114,2030489,642936,1372561,1242018,1700140,1298794,1646757,437165,1079587,1098863,1209212,896766,1029688,1508930,1692264,1431458,1354151,803472,787775,820606
1124212,1726491,1446129,1933065,666972,1480011,1341625,1788655,1252515,1622337,428665,1806031,1391724,1146139,800359,1158162,1378713,1680152,1453002,1326153,715242,1269927,805614
1044568,1362685,1527537,2117975,654261,1250189,1144490,1576423,1338139,1575022,458700,1131633,1103852,1137990,1004847,991654,1385890,1684345,1499537,1334989,955986,910574,804700
745978,1485009,1502323,1991541,639937,1279953,1097979,1717973,1208060,1714246,464117,1767345,1271272,1400284,822646,1064296,1422900,1779150,1426052,1493201,870692,1028378,847350
822896,1434953,1218238,1896315,644070,1313283,1048161,3326784,1231341,1542877,604327,2425862,2162367,1086751,821670,1654729,1379878,1678233,1497384,1331328,1836217,731650,820346
1343652,1585045,2791708,3094438,691971,1473554,1198494,1750721,1268047,1643844,552670,833799,923767,1033366,820430,1095013,1575531,1753450,1547557,1507915,835462,814859,828650
1269285,1586908,1726034,2039536,652095,1485286,1340815,1736481,1382866,1510987,440226,1242904,1183769,1171601,922929,968100,1470234,1744522,1501815,1361109,707767,755972,838048
969876,1462580,1862863,2323915,655204,1330745,1276722,1893055,1279675,1753683,585698,1400727,1224020,1185264,863230,1164174,1558295,1926358,1492828,1509266,886516,1114722,864864
1080591,1570777,1515515,2077056,644380,1272049,1073451,1809671,1250515,1653438,418278,2047876,1128736,1381045,1064123,1105901,1385619,1790904,1550823,1427114,841711,694963,861027
1130049,1490651,1575959,2094268,689532,1540273,1512101,1773270,1442788,1611360,493105,997931,1102299,1198343,847044,1035379,1518737,1747800,1682407,1348466,736184,627074,826384
1420325,1605958,2055222,2867939,677004,1493848,1268469,1844896,1229739,1731033,1011189,1388093,1198270,1153830,1207312,1070528,1551428,1762320,1543660,1448168,752693,1005781,853498
1262798,1543170,1864330,2415393,653430,1343227,1113043,1787242,1217424,1640424,425393,1058128,1111515,1172657,837749,1051463,1481619,1750767,1472373,1403594,767820,695832,847662
1333414,1508904,1987325,2526306,663136,1525362,1493543,1871585,1581085,1675817,573210,1013668,931054,1303856,828792,1114026,1600099,1786373,1540749,1491974,823143,782464,864006
1054671,1521290,1499823,1846278,635852,1255153,1250996,1542185,1169218,1622118,535031,886752,985720,1253467,830556,1129834,1430554,1733379,1478445,1383641,735610,680094,822661
793119,1430536,1289044,1673751,653204,1577258,1192161,2045534,1362408,1666267,517258,1944102,1442977,1090680,803171,1059048,1418105,1681105,1395513,1367603,1052795,1126393,933768
974000,1398050,1383495,1943375,811911,1332605,1273693,1630750,1347979,1644184,464704,1063627,999984,1133221,765000,981827,1407105,1890987,1548794,1380209,721876,650811,850514
1048521,1484742,1830947,2500549,630398,1528283,1165898,1739728,1345597,1726383,578285,1302372,948900,1295396,862533,1097158,1555414,1791074,1578794,1423898,795598,1035822,862330
1005453,1148987,1670858,2355146,636412,1366382,1280724,1797868,1183245,1684389,493840,811648,794413,1079308,735712,843412,1467607,1704028,1509992,1389238,713925,884490,847416
1785816,2158531,1866739,2758680,657861,1531786,1397140,1653173,1296048,1679760,724108,3552239,2038090,1428507,938287,1118202,1516730,1795062,1579664,1514654,797919,736380,862458
690227,1369702,1205868,1930036,638617,1356833,1154609,1713533,1200606,1692341,592266,805116,1162225,1042421,741444,1061409,1462459,1688083,1411416,1424441,710591,1424027,799396
1761528,1808876,2582762,3208694,657059,1919588,1241407,1833507,1340688,1664773,618293,1018100,967404,1169743,879077,1124641,1489455,1754027,1641646,1412994,802205,629247,859640
1192412,1649072,1940636,2728046,696598,1431683,1238055,1825155,1280641,1741829,575832,933746,969478,1070302,800469,965133,1573833,1777274,1792687,1486824,868795,1030227,867076
881802,1182182,1605358,2264079,577296,1191528,925283,1672129,1386553,1662066,449916,870899,1029955,952159,954153,1041769,1320486,1668378,1565530,1347032,705847,605060,790310
1536942,1892662,1772368,2621604,629299,1342864,963577,1555186,1134723,1493005,491520,801096,882554,1084211,735327,879685,1448736,1645146,1361710,1363439,747932,707299,825773
977345,1575670,1642747,2428576,645979,1247115,1213945,1616374,1252783,1539081,558751,1254750,1078212,1080027,771256,919049,1391262,1719764,1389587,1396788,819031,1683753,938057
1163011,1578423,1626436,2172792,641873,1440495,1144128,1620457,1392292,1621355,504900,976499,1200217,1053631,770182,1031768,1415119,1664317,1389927,1368916,781416,902779,829896
797066,1228441,1583994,2003087,617310,1479983,1337436,1763386,1222560,1636180,658047,962042,857359,1002362,753236,1009493,1360104,1599824,1416112,1356500,873813,677968,776545
954494,1175486,1165687,1710449,592618,1374520,1095500,1639161,1240643,1471860,572369,910358,1124058,915233,741254,982452,1343891,1572006,1291353,1261104,700561,687425,760931
862064,1140862,1229213,1854641,592470,1352786,1196385,1622709,1239817,1645275,679677,1001442,1135427,972541,759658,1302300,1496714,1616712,1377021,1372421,770988,860331,777734
1319716,1503462,2108773,2560238,647529,1477313,1041721,1714287,1254301,1769475,523779,1389450,1254900,1143744,870516,1009558,1528694,1783948,1763810,1419375,879717,1622299,836318
1401005,1574266,2049198,2412960,716618,1552470,1598602,1781675,1363359,1666049,673331,861353,947506,1123180,835978,979676,1527049,1711052,1396436,1417352,938643,818465,874312
1026844,1397142,1501536,2089829,615270,1243307,1161504,1681249,1317161,1591769,430878,1038963,932222,1082591,824759,1005852,1436678,1720727,1412024,1343830,777760,1079604,856754
1353090,1506104,1917138,2401822,649915,1468543,1227589,1561674,1224851,1598926,642826,756955,891932,1032037,871252,1107273,1427228,1644187,1388699,1308881,813313,922067,855408
1091909,1422321,1750027,2408487,966122,1630299,1234530,1712530,1244388,1684613,472116,775215,986380,1108027,1881864,1083028,1551715,1804888,1481592,1350964,769006,681002,868401
567364,1154449,1101498,1803023,653017,1083260,1031346,1569947,1555254,1657269,1101850,1079628,945344,2099316,2680889,989922,1420044,1786047,1569891,1399012,830109,587942,2964180
838909,1249488,1765709,2115420,777023,1216264,1457644,1613539,1283725,1547199,1003758,1160831,1025517,2208604,817215,950558,1458170,1982653,1547388,1406595,1605882,641493,826827
896561,1424973,1538851,1909536,617200,1131072,1175687,2130110,1373144,1605523,409353,2133134,1541327,1273356,952964,1182395,1445347,1830909,1444145,1376985,771015,738957,868834
802256,1068712,1712509,2175101,611540,1426614,1197057,1818400,1400076,1819207,492353,927450,981223,1080576,855042,1086483,1514249,1713655,1544784,1398552,812226,1876646,852546
1047616,1243374,1641169,2375386,620127,1369884,1103909,1599707,1295542,1801157,559901,1076333,1116775,1053912,889043,989274,1433617,1717674,1539995,1429729,826748,1105034,850527
948136,1109533,1438271,2149872,554475,1326633,957919,1657668,1262965,1717875,434763,802732,1075906,936699,694516,1021793,1447481,1457655,1362409,1351660,794947,1089734,693954
795598,1246661,1744093,2076354,631648,1247454,1090210,1638988,1339810,1739989,476827,1655094,1124917,1090643,901131,1047335,1385905,1716405,1452925,1454793,923202,758634,853816
1067936,1488526,1661656,2316834,706021,1451451,1355597,1850070,1448963,1947892,550083,1542152,1255540,1080572,1029004,1169352,1460507,1772616,1450552,1469635,785203,812831,1096996
861105,1555360,1752061,2162215,647986,1376102,1216902,1693124,1811524,2727079,513709,1920329,1369381,1191875,994675,1071084,1459131,2026197,1644309,1448150,764110,1101064,877424
1515610,1730939,2661207,3322047,656382,1886098,1408008,1930985,1295621,1761590,549877,814858,975131,1129964,835509,929391,1527294,1736979,1459253,1894665,811726,1431718,882726
1426316,1597180,2788132,3358765,695386,1938727,1873075,1904415,1608375,2391018,548873,881798,921526,1138343,1031995,1065941,1711892,1789133,1543240,1444362,1008298,683656,875544
804312,1229891,1734376,2360136,626011,1153570,985531,1669436,1645185,2457650,422369,852855,985952,1279148,867928,928829,1515870,1774046,1556312,1387720,761038,717482,878793
1487640,1955368,2582808,3134981,669834,1413767,1315301,1849661,1956936,2507168,694153,2171235,1606888,1397556,916116,1140319,1570666,1923715,1539383,1549365,931240,744028,873667
1044134,1410028,1903617,2442494,669705,1543792,1192514,2005439,1728091,2348576,524083,792829,899262,1105222,826556,996779,1436400,1724242,1498197,1393197,857277,848259,867374
1291072,1782982,2413295,2805403,672532,1600502,1330193,1731055,1889818,2736415,640923,953314,1074261,1052956,989983,964392,1494686,1746505,1489800,1411656,756908,1005128,848808
1248643,1707181,2285830,2817540,672996,1477064,1233722,1894777,1696560,2622601,487326,1624654,1430190,1219905,931539,987799,1570993,1801412,1651303,1458032,839096,755479,876060
1425581,1535502,2465823,3071274,648946,1681951,1416089,1884460,1737016,2506406,580574,851866,1018636,1035619,849275,1149017,1720886,1761836,1531253,1461138,893372,1136778,871987
1368597,1477767,2426162,3087686,636223,1621829,1345637,1809465,1299128,1944156,528329,844790,1055852,948579,863158,1207266,1577465,1671256,1386858,1420535,837851,840763,830351
794597,1449909,1365999,1883599,683808,1288273,1112204,1818585,1551244,2451173,576799,1089702,1409040,1553093,823144,983185,1534304,1888978,1607061,1665011,801490,1033887,903428
1197405,1495260,2126943,2669410,700829,1420917,1758251,1753091,1632637,2606930,623412,1021658,975958,1961555,894952,1015180,1627752,1896538,1654421,1346044,767875,834515,824827
908340,1204619,1499495,2269380,679451,1262420,1054389,1748123,1315431,1849141,706036,960001,1026234,1211091,850302,1043417,1507994,1921066,1459349,1502205,822547,693360,850499
903617,1337557,1655266,2253671,677736,1430514,1299166,1789314,1589402,2617789,605309,891437,903818,1092662,874107,1066369,1513795,1774363,1565891,1472869,776324,1512487,864502
918443,1296174,2065567,2474055,657070,1344700,1417016,1875008,1607969,2272290,560008,727723,968664,1092723,824012,1086527,1511435,1759544,1503677,1494251,814331,786312,843186
945541,1323069,1678504,2168533,738458,1415082,1469958,1710052,1537474,2478196,731102,879113,882293,1100648,744822,979523,1437183,1743052,1501381,1486837,872576,780630,880160
1080198,1460571,2194851,2700747,656627,1460674,1119691,1823847,1638638,2361633,883718,1402211,1189491,1159725,916401,1039669,1555696,1735815,1531798,1379845,1256617,618679,871693
1310128,1851551,1720887,2313807,703578,1540708,1208685,1898457,1517200,2009332,677731,1324552,1210427,1009507,771076,1043245,1495353,1759983,1511542,1494790,921821,1035549,879499
829377,1314742,1560196,2274985,614991,1402188,1133543,1838016,1460050,1757225,483450,1288898,1148691,1167507,1002270,992230,1490598,1784688,1626186,1472674,820773,1017085,857021
699275,1153090,1198273,1740767,618539,1461714,1279097,1554987,1426591,2271671,488466,642523,896627,1162908,768591,857021,1353343,1684516,1681196,1312088,711270,801797,837664
1153211,1411297,1727419,2390260,616069,1326036,1243914,1590476,1591805,1978397,552208,936473,864418,1046238,812773,961156,1378528,1805227,1463740,1381295,754471,864508,835580
768781,1204036,1582568,2396994,680749,1422595,1229201,1621586,1361427,1629396,493359,823251,981266,1285584,785245,977525,1424540,1687872,1400435,1288961,740852,613690,808106
1184556,1529475,1751169,2282300,599861,1421936,1097141,1844440,1475046,2229849,507259,914298,994015,1047172,999574,1433297,1628104,1670623,1408649,1315512,792398,848653,849097
1288832,1288296,1963078,2434514,610805,1298856,1199624,1672573,1466467,1639098,775233,1124980,1006055,1144109,919609,1266049,1420091,1696990,1464669,1480843,850756,1082924,847139
445603,516945,1645275,549770,449897,378772,977598,706492,1416046,2017453,299887,290518,297170,971004,804721,417514,942068,1673386,1047687,479603,251596,135096,820946
1461910,1581977,2400835,3007616,605125,1384958,1032377,1700057,1289921,1694335,467842,1013427,988220,1080087,755639,925446,1473992,1696843,1516137,1470595,755753,752456,838364
1127032,1487354,1929941,2330681,642733,1431034,1237160,1759788,1452456,1716010,549821,836419,961153,1089094,846434,1115267,1621632,1733839,1480436,1442980,756266,792763,885749
939082,1388497,1650914,2186450,641614,1503856,1409840,1791386,1443084,1898756,520947,1418339,1310374,1077029,905403,1101782,1560012,1739872,1505816,1518789,873206,998874,875955
1020075,1444910,1759988,2573172,641722,1440608,1207571,1877907,1500549,1795190,450605,1099173,975234,997244,797843,1064306,1568070,1788707,1534446,1425318,764745,835772,877532
890403,1262580,1543999,2190222,619358,1284866,1264984,1488732,1527025,2036818,469248,906483,1083606,1042509,744593,972441,1366721,1660021,1395714,1277025,738659,669958,842610
719964,1365383,1158453,1750992,600282,1144355,988593,1656697,1418862,1833534,446557,1510587,1162319,1045377,776406,1004300,1392508,1704581,1425608,1410378,737256,911379,853219
1452123,1443676,1973192,2435375,587275,1419605,1068998,1752502,1328217,1799704,543618,1071913,1056975,1123526,849350,993447,1447027,1744563,1502455,1395526,750316,831848,824775
1031312,1236791,1509102,2034325,632235,1482283,1343387,1793420,1630943,2211581,673015,1012343,1075822,1100108,769927,991483,1491355,1766634,1600005,1529308,822552,1135383,841620
967506,1328793,1675400,2328418,671658,1459008,1151424,1725994,1543872,2545436,837229,903816,1148074,919233,826887,1090230,1424192,1744889,1455514,1494411,1022629,942798,1302459
1257627,1516733,2371824,2626966,628368,1491958,1306745,1829627,1283609,1784506,462934,852118,967640,966718,779471,1067045,1588551,1734877,1513162,1450069,805148,1187618,823737
1181643,1457824,1964007,2659743,608366,1481687,1212420,1827004,1685160,2432654,659075,1155284,1154181,957001,744867,990211,1442566,1748501,1604422,1550706,963294,849499,847581
975918,1410501,1874384,2680733,613139,1484944,1138211,1969248,1612729,2469508,488438,843587,1109043,1034881,834692,1104337,1459796,1746427,1494789,1505881,757143,1000371,844772
1158573,1391367,2371177,2676628,630416,1275523,1097168,1657504,1634555,2250526,886750,664683,942127,1066649,872740,997857,1466380,1735104,1519304,1418502,792704,722619,936555
1683189,1814284,2236479,2998141,640177,1502520,1348151,2126222,1886544,2270243,735549,2191153,1456665,996045,924571,1208126,1579393,1925677,1482452,1534694,1098683,870847,858122
1067769,1456669,1896010,2518351,649744,1502763,1493366,1914670,1472998,2199075,664622,2034201,1246776,1160307,861044,1093375,1456344,1764389,1586656,1531045,1314435,899885,864469
1296853,1548505,1829450,2409241,648830,1647550,1495664,1933237,1513852,1997970,558736,938687,1140377,1292477,1051730,1381030,1481564,1818135,1627918,1433190,1035760,1438419,877281
1104553,1419206,2101825,2768033,643284,1557305,1233216,1816358,1594464,1866769,530858,1246139,1140124,965108,819228,1042382,1593548,1826759,1544581,1448105,804128,1153803,863124
632307,1439985,817636,1473083,911777,1086527,2658251,1744156,1471067,1840334,1209410,2764558,2841334,1488472,799540,2552953,1335448,1828964,1852706,1500984,2281787,621191,2389957
852062,1322304,1797522,2339759,636263,1355872,1235760,1828763,1422609,1700219,773867,725007,884068,1041975,780310,990961,1449247,1762423,1539005,1386394,793487,1165579,864679
1163063,1506154,2041268,2771429,675092,1625667,1583558,1964955,1466445,1837545,1063265,1430264,1160357,1107234,834248,1009128,1611486,1787631,2204763,1548755,1601216,980456,861913
1019880,1424753,1882028,2459681,616903,1317416,1051853,1870320,1389480,1823071,649003,988677,1017262,1111249,938949,1079204,1538253,1743876,1514862,1470534,760996,956599,865259
1221852,1653006,1989773,2659033,659523,1513745,1148006,1931470,1415786,1790421,745137,884110,988042,967998,975008,1020198,1517283,1731524,1564267,1504139,793748,792461,854347
748306,1260914,1648654,2197022,645177,1261109,999188,1630495,1700109,2352585,719110,756334,915561,1438830,847361,943901,1331865,1759092,1533584,1294087,724849,803606,823318
661344,1282795,1569853,2290460,610365,1451344,1038844,1745875,1582500,2315085,691813,995165,1156269,1034161,840669,940536,1444031,1700779,1513759,1378499,731141,914786,838129
998976,1417736,2267280,2834070,651929,1742758,1564172,1933380,1472542,1782969,813441,872046,992660,1050334,868144,1015591,1597711,1750007,1530647,1498712,858913,1098571,868693
1175333,1560609,1350643,1938550,602575,1097462,1083418,1527636,1513311,2254578,793416,842640,930670,1012204,972451,903850,1312864,1666545,1457716,1360170,698987,916179,842216
823199,1257236,1103626,1867476,726653,1395769,953900,1622465,1339029,1666003,583964,827524,978629,993363,767405,1078237,1372126,1708179,1391985,1417234,753703,1080750,816145
1099113,1614801,2104612,2756984,600066,1522574,1149456,1945672,1476125,1805047,606875,2551943,1598707,1158162,854421,946958,1442734,1718029,1481027,1530816,779303,861251,847846
1290698,1486374,1901961,2584973,638818,1431843,1230596,1728706,1363591,1678562,562186,1102515,1151762,1010829,826709,947125,1386874,1748173,1520188,1449159,782905,1368984,848874
1024688,1383314,2061149,2756599,625866,1348512,1238888,2011379,1571340,2003456,525969,914840,927093,1046555,872531,1109599,1399777,1756777,1509330,1539782,749874,983055,864272
1108821,1602418,1839417,2629602,621364,1343727,1081348,1645834,1323362,1980707,964298,1234914,1151829,1198944,1076013,1224286,1416414,1695821,1615151,1443867,995442,789751,836363
1163237,1396450,2213123,3049891,654074,1635256,1484749,2209254,1469936,1968954,697235,865081,944219,1072006,790053,1097065,1417803,1762802,1540523,1596053,883757,728922,866848
843932,1337456,2175092,2618265,596828,1445728,961268,1697734,1433555,1818103,537291,858477,1021226,1107502,838488,999641,1415923,1703412,1401203,1349916,784244,823617,847265
858163,1193408,1098206,1664475,477030,966864,791414,1436130,1060392,1277754,461433,1166565,1076631,622832,764813,811841,1069862,1422277,1191340,1095028,590765,613367,597008
731744,1341497,888224,1695076,581110,1281766,840546,1792202,1610548,2586773,449214,1101601,1332938,993523,779256,962079,1261362,1705957,1391181,1443143,712016,856766,843737
1354334,1482706,2188126,2827528,623892,1469254,1406719,1696320,1662848,2095608,718574,907431,855254,1182712,853724,1040395,1446997,1703931,1588323,1374729,1174614,759748,821454
965825,1275729,1739889,2399066,572801,1318224,987439,1603164,1748121,2536698,430848,649174,918661,1027083,852042,906206,1362115,1680068,1460795,1374963,684223,1160385,831364
1546547,1633793,2142297,2926647,575168,1384409,1115958,1616330,1406027,1679990,474853,791035,895689,907881,817606,919428,1498241,1608709,1429469,1412435,723882,860182,778202
891552,1386572,1436837,2175427,600921,1779583,1408187,1541727,1415562,1675156,488468,1203454,1289743,870006,720927,1033095,1440436,1678584,1473827,1323670,721682,767530,813242
1139489,1285651,1794044,2369107,611871,1649677,1137382,1742611,1262725,1568571,690150,959484,1041174,1021293,765090,941000,1408132,1634506,1445165,1369141,814584,1093111,801718
916153,1375152,1519135,2043830,655421,1507087,1397212,1569446,1277205,1617751,440215,937428,1068417,976936,723436,905156,1475542,1539333,1479333,1312362,678847,764557,793827
694517,1096918,1383503,2039359,582290,1335474,1111014,1754354,1320119,1600959,446365,678353,995232,892546,859539,958316,1319999,1683525,1427080,1330861,711430,946982,793398
643271,1098930,1166284,1934575,560694,1164295,831945,1704959,1391911,1814476,535797,748182,949816,965818,765542,1161348,1393174,1689089,1421877,1391999,740709,894938,833358
951010,1222058,1446371,2313274,605596,1353831,1020605,1590912,1377546,1656096,479416,644360,848438,883516,727691,908282,1356080,1678764,1424525,1359330,737000,913867,818719
625362,964919,1670072,1689236,594027,1179509,941830,1530629,1313948,1675167,493358,676912,955838,938328,740121,891081,1720498,1633747,1471247,1296451,703365,988217,814571
856710,1205026,1342132,2001663,613142,1234602,1042350,1801319,1420913,1752838,628279,868528,1098495,949748,864418,1092049,1550597,1750629,1562572,1619442,924826,857486,840889
785903,1261976,1270759,1993367,576268,1272802,911790,1641882,1344498,1697180,492200,1707992,1250922,1033597,818770,936032,1351723,1701364,1462195,1417985,781459,1330661,826833
938437,1255442,1398912,2144969,651287,1439380,1032413,1597692,1554172,2057056,532611,957577,1003682,923545,757172,877774,1296305,1629450,1427685,1300467,697993,691837,964651
1279311,1417587,1940168,2609722,653402,1944110,1722858,1981306,1734636,1956104,732739,716823,923361,1192272,788916,1116960,1823874,1786418,1609627,1597047,926414,699964,911640
472997,800761,1052666,805030,564780,475206,779055,942038,1280068,1794964,363627,430530,470299,947284,750165,669288,1207171,1660378,1308528,944972,525106,361305,836109
1121748,1396381,1864243,2277933,600303,1317642,1230536,1808968,1376841,1919725,607904,671287,910233,887572,865608,1127133,1510968,1787345,1586380,1650567,774096,1007279,852604
750891,1192691,1491927,2049871,578429,1231693,868553,1605279,1297857,1774711,473159,892344,871459,960164,785303,967297,1394093,1726068,1422127,1466191,770129,1019638,823955
893753,1194552,1589244,2174387,588041,1218578,1012639,1705812,1324818,1794914,459720,647209,808464,986924,797585,917845,1377779,1689279,1393735,1383310,878966,769051,894988
899843,1436266,1679588,2227799,596045,1308309,942965,1631310,1339342,1607338,572302,676401,838287,921929,772743,1005785,1375484,1660674,1409220,1371248,725390,897776,797419
692672,1129334,1280748,1964440,612183,1235326,930035,1657088,1667939,2502722,405327,704988,880914,920697,738976,927764,1371662,1713812,1563702,1490737,719541,1116258,837391
1065142,1389163,1631353,2132160,599744,1279676,1046737,1867208,1338649,1853241,955679,1195977,985135,953539,739871,1024748,1458341,1713155,1455738,1435990,980198,899183,840542
755566,1097584,1608544,2412205,592696,1191601,959271,1652670,1486850,1622571,462597,695792,850297,1067221,827228,997174,1332265,1716818,1631178,1359910,813602,986135,826821
885079,1183280,1439409,2087792,649649,1462124,1109713,1655590,1523896,1641943,571027,801644,877982,1147124,844074,1070830,1328073,1700740,1587291,1373438,754667,737750,1514630
1542877,1671922,2545023,3140508,642269,1663099,1459285,1938948,1582821,1691689,578052,747386,937197,865060,830121,1040215,1522476,1751915,1526559,1468441,781420,890350,847828
762752,1295516,1512461,2184323,635059,1559916,1285751,1887983,1308995,1870044,455405,1586628,1172538,1028506,862138,1054687,1517154,1817181,1604108,1578819,828864,1168793,865324
937965,1372730,2026854,2324221,619733,1533863,1072870,1900937,1390367,1913757,505122,785807,957637,935900,775927,1054875,1530182,1884749,1638494,1539336,781089,695299,875263
1177863,1508509,1706214,2404627,652550,1854515,1407440,1762175,1433696,1659214,683538,1097052,979510,915226,793446,1001454,1430180,1749440,1541169,1453651,761303,811288,855929
1304391,1613010,1868716,2609428,650550,1629836,1420585,1897791,1409959,1644830,724099,1323673,1087445,923580,839511,1000802,1323555,1719213,1441072,1457711,938456,817319,824785
775837,1084762,1434627,2034918,603173,1301555,1185499,1609813,1138634,1822971,415676,638859,810447,941230,764233,897124,1461693,1706555,1507980,1376628,970037,835913,814374
830732,1169201,1318791,2014159,559492,1135171,881853,1638518,1170976,1738291,439224,671111,854673,798976,732137,900537,1354006,1686953,1501269,1654864,737637,940116,807437
738504,1033420,1329688,1643288,586392,896314,1023084,1573813,1340954,1731329,540513,624090,684155,949269,902105,932007,1322231,1854522,1585952,1333627,775348,670950,934012
902497,1408502,1669953,2390969,577435,1309617,967325,1820042,1386036,1679935,682082,638749,834111,791848,711116,953964,1377361,1723987,1460799,1396763,958990,1334612,816067
784082,1321422,1199952,1957373,616199,1317268,950355,1712540,1215155,1744237,852209,1519156,991298,890585,736076,946013,1379968,1735466,1514836,1430547,745420,1025926,849694
1806463,1872915,1720127,2518107,598387,1472113,922349,1823028,1319869,1660941,612911,2124432,1378949,841261,864455,1028951,1377460,1700929,1510282,1395321,734698,843024,814527
