method,dimension,accuracy
kernel k-groups,10,0.89
k-means,35,0.835
gmm,35,0.86
spectral clustering,35,0.845
kernel k-means,35,0.91
kernel k-groups,35,0.915
k-means,60,0.73
gmm,60,0.66
spectral clustering,60,0.75
kernel k-means,60,0.73
kernel k-groups,60,0.765
k-means,85,0.845
gmm,85,0.78
spectral clustering,85,0.84
kernel k-means,85,0.86
kernel k-groups,85,0.855
k-means,110,0.795
gmm,110,0.765
spectral clustering,110,0.83
kernel k-means,110,0.805
kernel k-groups,110,0.815
k-means,135,0.855
gmm,135,0.71
spectral clustering,135,0.805
kernel k-means,135,0.785
kernel k-groups,135,0.85
k-means,160,0.815
gmm,160,0.815
spectral clustering,160,0.81
kernel k-means,160,0.695
kernel k-groups,160,0.83
k-means,185,0.815
gmm,185,0.875
spectral clustering,185,0.86
kernel k-means,185,0.655
kernel k-groups,185,0.865
k-means,210,0.84
gmm,210,0.905
spectral clustering,210,0.87
kernel k-means,210,0.55
kernel k-groups,210,0.865
k-means,235,0.585
gmm,235,0.745
spectral clustering,235,0.785
kernel k-means,235,0.505
kernel k-groups,235,0.795
k-means,260,0.68
gmm,260,0.6
spectral clustering,260,0.79
kernel k-means,260,0.595
kernel k-groups,260,0.77
k-means,285,0.735
gmm,285,0.505
spectral clustering,285,0.825
kernel k-means,285,0.655
kernel k-groups,285,0.835
k-means,310,0.715
gmm,310,0.605
spectral clustering,310,0.795
kernel k-means,310,0.535
kernel k-groups,310,0.815
k-means,335,0.755
gmm,335,0.595
spectral clustering,335,0.82
kernel k-means,335,0.59
kernel k-groups,335,0.845
k-means,360,0.625
gmm,360,0.56
spectral clustering,360,0.885
kernel k-means,360,0.675
kernel k-groups,360,0.855
k-means,385,0.645
gmm,385,0.6
spectral clustering,385,0.79
kernel k-means,385,0.59
kernel k-groups,385,0.805
k-means,410,0.635
gmm,410,0.525
spectral clustering,410,0.855
kernel k-means,410,0.615
kernel k-groups,410,0.87
k-means,435,0.605
gmm,435,0.55
spectral clustering,435,0.8
kernel k-means,435,0.605
kernel k-groups,435,0.76
k-means,460,0.59
gmm,460,0.64
spectral clustering,460,0.8
kernel k-means,460,0.545
kernel k-groups,460,0.805
k-means,485,0.63
gmm,485,0.625
spectral clustering,485,0.785
kernel k-means,485,0.59
kernel k-groups,485,0.77
k-means,510,0.71
gmm,510,0.625
spectral clustering,510,0.745
kernel k-means,510,0.6
kernel k-groups,510,0.79
k-means,535,0.595
gmm,535,0.56
spectral clustering,535,0.735
kernel k-means,535,0.61
kernel k-groups,535,0.775
k-means,560,0.67
gmm,560,0.62
spectral clustering,560,0.81
kernel k-means,560,0.55
kernel k-groups,560,0.815
k-means,585,0.565
gmm,585,0.535
spectral clustering,585,0.805
kernel k-means,585,0.51
kernel k-groups,585,0.75
k-means,610,0.52
gmm,610,0.505
spectral clustering,610,0.635
kernel k-means,610,0.585
kernel k-groups,610,0.615
k-means,635,0.615
gmm,635,0.56
spectral clustering,635,0.84
kernel k-means,635,0.62
kernel k-groups,635,0.83
k-means,660,0.525
gmm,660,0.605
spectral clustering,660,0.815
kernel k-means,660,0.5
kernel k-groups,660,0.8
k-means,685,0.595
gmm,685,0.51
spectral clustering,685,0.765
kernel k-means,685,0.53
kernel k-groups,685,0.78
k-means,710,0.515
gmm,710,0.535
spectral clustering,710,0.68
kernel k-means,710,0.525
kernel k-groups,710,0.59
k-means,10,0.9
gmm,10,0.905
spectral clustering,10,0.895
kernel k-means,10,0.915
kernel k-groups,10,0.915
k-means,35,0.81
gmm,35,0.81
spectral clustering,35,0.865
kernel k-means,35,0.895
kernel k-groups,35,0.865
k-means,60,0.86
gmm,60,0.82
spectral clustering,60,0.835
kernel k-means,60,0.85
kernel k-groups,60,0.875
k-means,85,0.885
gmm,85,0.79
spectral clustering,85,0.885
kernel k-means,85,0.885
kernel k-groups,85,0.89
k-means,110,0.76
gmm,110,0.785
spectral clustering,110,0.795
kernel k-means,110,0.81
kernel k-groups,110,0.835
k-means,135,0.845
gmm,135,0.55
spectral clustering,135,0.82
kernel k-means,135,0.775
kernel k-groups,135,0.83
k-means,160,0.845
gmm,160,0.785
spectral clustering,160,0.875
kernel k-means,160,0.77
kernel k-groups,160,0.875
k-means,185,0.79
gmm,185,0.755
spectral clustering,185,0.77
kernel k-means,185,0.545
kernel k-groups,185,0.75
k-means,210,0.75
gmm,210,0.82
spectral clustering,210,0.81
kernel k-means,210,0.67
kernel k-groups,210,0.8
k-means,235,0.8
gmm,235,0.585
spectral clustering,235,0.77
kernel k-means,235,0.505
kernel k-groups,235,0.82
k-means,260,0.74
gmm,260,0.815
spectral clustering,260,0.865
kernel k-means,260,0.605
kernel k-groups,260,0.82
k-means,285,0.595
gmm,285,0.56
spectral clustering,285,0.78
kernel k-means,285,0.605
kernel k-groups,285,0.795
k-means,310,0.825
gmm,310,0.74
spectral clustering,310,0.855
kernel k-means,310,0.625
kernel k-groups,310,0.835
k-means,335,0.855
gmm,335,0.78
spectral clustering,335,0.835
kernel k-means,335,0.76
kernel k-groups,335,0.815
k-means,360,0.53
gmm,360,0.56
spectral clustering,360,0.785
kernel k-means,360,0.605
kernel k-groups,360,0.785
k-means,385,0.745
gmm,385,0.555
spectral clustering,385,0.825
kernel k-means,385,0.57
kernel k-groups,385,0.83
k-means,410,0.63
gmm,410,0.54
spectral clustering,410,0.82
kernel k-means,410,0.54
kernel k-groups,410,0.81
k-means,435,0.635
gmm,435,0.5
spectral clustering,435,0.8
kernel k-means,435,0.525
kernel k-groups,435,0.81
k-means,460,0.54
gmm,460,0.515
spectral clustering,460,0.775
kernel k-means,460,0.55
kernel k-groups,460,0.775
k-means,485,0.585
gmm,485,0.65
spectral clustering,485,0.8
kernel k-means,485,0.555
kernel k-groups,485,0.825
k-means,510,0.51
gmm,510,0.61
spectral clustering,510,0.8
kernel k-means,510,0.52
kernel k-groups,510,0.815
k-means,535,0.525
gmm,535,0.505
spectral clustering,535,0.73
kernel k-means,535,0.505
kernel k-groups,535,0.715
k-means,560,0.57
gmm,560,0.5
spectral clustering,560,0.745
kernel k-means,560,0.6
kernel k-groups,560,0.76
k-means,585,0.595
gmm,585,0.535
spectral clustering,585,0.705
kernel k-means,585,0.53
kernel k-groups,585,0.745
k-means,610,0.545
gmm,610,0.53
spectral clustering,610,0.775
kernel k-means,610,0.585
kernel k-groups,610,0.77
k-means,635,0.675
gmm,635,0.64
spectral clustering,635,0.84
kernel k-means,635,0.64
kernel k-groups,635,0.845
k-means,660,0.655
gmm,660,0.6
spectral clustering,660,0.795
kernel k-means,660,0.535
kernel k-groups,660,0.81
k-means,685,0.575
gmm,685,0.525
spectral clustering,685,0.72
kernel k-means,685,0.515
kernel k-groups,685,0.715
k-means,710,0.545
gmm,710,0.51
spectral clustering,710,0.625
kernel k-means,710,0.595
kernel k-groups,710,0.715
k-means,10,0.9
gmm,10,0.935
spectral clustering,10,0.885
kernel k-means,10,0.905
kernel k-groups,10,0.905
k-means,35,0.875
gmm,35,0.85
spectral clustering,35,0.85
kernel k-means,35,0.87
kernel k-groups,35,0.88
k-means,60,0.815
gmm,60,0.755
spectral clustering,60,0.845
kernel k-means,60,0.855
kernel k-groups,60,0.865
k-means,85,0.815
gmm,85,0.545
spectral clustering,85,0.815
kernel k-means,85,0.81
kernel k-groups,85,0.84
k-means,110,0.795
gmm,110,0.68
spectral clustering,110,0.795
kernel k-means,110,0.795
kernel k-groups,110,0.805
k-means,135,0.845
gmm,135,0.785
spectral clustering,135,0.865
kernel k-means,135,0.8
kernel k-groups,135,0.89
k-means,160,0.825
gmm,160,0.845
spectral clustering,160,0.83
kernel k-means,160,0.78
kernel k-groups,160,0.83
k-means,185,0.75
gmm,185,0.515
spectral clustering,185,0.805
kernel k-means,185,0.605
kernel k-groups,185,0.775
k-means,210,0.77
gmm,210,0.845
spectral clustering,210,0.8
kernel k-means,210,0.68
kernel k-groups,210,0.78
k-means,235,0.74
gmm,235,0.8
spectral clustering,235,0.79
kernel k-means,235,0.68
kernel k-groups,235,0.8
k-means,260,0.8
gmm,260,0.815
spectral clustering,260,0.85
kernel k-means,260,0.655
kernel k-groups,260,0.84
k-means,285,0.73
gmm,285,0.675
spectral clustering,285,0.825
kernel k-means,285,0.66
kernel k-groups,285,0.83
k-means,310,0.82
gmm,310,0.525
spectral clustering,310,0.805
kernel k-means,310,0.565
kernel k-groups,310,0.825
k-means,335,0.625
gmm,335,0.545
spectral clustering,335,0.83
kernel k-means,335,0.56
kernel k-groups,335,0.825
k-means,360,0.55
gmm,360,0.61
spectral clustering,360,0.835
kernel k-means,360,0.56
kernel k-groups,360,0.85
k-means,385,0.68
gmm,385,0.665
spectral clustering,385,0.835
kernel k-means,385,0.615
kernel k-groups,385,0.855
k-means,410,0.69
gmm,410,0.525
spectral clustering,410,0.795
kernel k-means,410,0.56
kernel k-groups,410,0.775
k-means,435,0.575
gmm,435,0.68
spectral clustering,435,0.825
kernel k-means,435,0.56
kernel k-groups,435,0.89
k-means,460,0.595
gmm,460,0.55
spectral clustering,460,0.755
kernel k-means,460,0.55
kernel k-groups,460,0.77
k-means,485,0.67
gmm,485,0.625
spectral clustering,485,0.8
kernel k-means,485,0.555
kernel k-groups,485,0.77
k-means,510,0.6
gmm,510,0.515
spectral clustering,510,0.795
kernel k-means,510,0.55
kernel k-groups,510,0.835
k-means,535,0.525
gmm,535,0.505
spectral clustering,535,0.745
kernel k-means,535,0.525
kernel k-groups,535,0.76
k-means,560,0.52
gmm,560,0.575
spectral clustering,560,0.795
kernel k-means,560,0.62
kernel k-groups,560,0.755
k-means,585,0.695
gmm,585,0.63
spectral clustering,585,0.835
kernel k-means,585,0.615
kernel k-groups,585,0.79
k-means,610,0.565
gmm,610,0.595
spectral clustering,610,0.745
kernel k-means,610,0.525
kernel k-groups,610,0.72
k-means,635,0.645
gmm,635,0.52
spectral clustering,635,0.745
kernel k-means,635,0.63
kernel k-groups,635,0.73
k-means,660,0.64
gmm,660,0.57
spectral clustering,660,0.765
kernel k-means,660,0.52
kernel k-groups,660,0.765
k-means,685,0.64
gmm,685,0.535
spectral clustering,685,0.82
kernel k-means,685,0.515
kernel k-groups,685,0.815
k-means,710,0.565
gmm,710,0.515
spectral clustering,710,0.765
kernel k-means,710,0.585
kernel k-groups,710,0.61
k-means,10,0.875
gmm,10,0.94
spectral clustering,10,0.88
kernel k-means,10,0.93
kernel k-groups,10,0.93
k-means,35,0.85
gmm,35,0.825
spectral clustering,35,0.84
kernel k-means,35,0.845
kernel k-groups,35,0.86
k-means,60,0.855
gmm,60,0.815
spectral clustering,60,0.885
kernel k-means,60,0.885
kernel k-groups,60,0.885
k-means,85,0.855
gmm,85,0.84
spectral clustering,85,0.87
kernel k-means,85,0.835
kernel k-groups,85,0.855
k-means,110,0.84
gmm,110,0.83
spectral clustering,110,0.835
kernel k-means,110,0.83
kernel k-groups,110,0.85
k-means,135,0.785
gmm,135,0.88
spectral clustering,135,0.74
kernel k-means,135,0.735
kernel k-groups,135,0.73
k-means,160,0.815
gmm,160,0.835
spectral clustering,160,0.82
kernel k-means,160,0.505
kernel k-groups,160,0.765
k-means,185,0.81
gmm,185,0.755
spectral clustering,185,0.81
kernel k-means,185,0.6
kernel k-groups,185,0.82
k-means,210,0.82
gmm,210,0.83
spectral clustering,210,0.83
kernel k-means,210,0.71
kernel k-groups,210,0.85
k-means,235,0.78
gmm,235,0.56
spectral clustering,235,0.79
kernel k-means,235,0.565
kernel k-groups,235,0.815
k-means,260,0.77
gmm,260,0.73
spectral clustering,260,0.84
kernel k-means,260,0.68
kernel k-groups,260,0.845
k-means,285,0.795
gmm,285,0.555
spectral clustering,285,0.835
kernel k-means,285,0.59
kernel k-groups,285,0.845
k-means,310,0.705
gmm,310,0.765
spectral clustering,310,0.82
kernel k-means,310,0.69
kernel k-groups,310,0.81
k-means,335,0.755
gmm,335,0.575
spectral clustering,335,0.79
kernel k-means,335,0.69
kernel k-groups,335,0.815
k-means,360,0.75
gmm,360,0.59
spectral clustering,360,0.79
kernel k-means,360,0.54
kernel k-groups,360,0.805
k-means,385,0.71
gmm,385,0.665
spectral clustering,385,0.77
kernel k-means,385,0.62
kernel k-groups,385,0.76
k-means,410,0.625
gmm,410,0.565
spectral clustering,410,0.795
kernel k-means,410,0.51
kernel k-groups,410,0.805
k-means,435,0.715
gmm,435,0.55
spectral clustering,435,0.77
kernel k-means,435,0.535
kernel k-groups,435,0.76
k-means,460,0.59
gmm,460,0.665
spectral clustering,460,0.8
kernel k-means,460,0.525
kernel k-groups,460,0.78
k-means,485,0.64
gmm,485,0.72
spectral clustering,485,0.835
kernel k-means,485,0.535
kernel k-groups,485,0.815
k-means,510,0.5
gmm,510,0.505
spectral clustering,510,0.79
kernel k-means,510,0.53
kernel k-groups,510,0.82
k-means,535,0.54
gmm,535,0.535
spectral clustering,535,0.77
kernel k-means,535,0.57
kernel k-groups,535,0.785
k-means,560,0.595
gmm,560,0.59
spectral clustering,560,0.815
kernel k-means,560,0.57
kernel k-groups,560,0.825
k-means,585,0.57
gmm,585,0.55
spectral clustering,585,0.845
kernel k-means,585,0.54
kernel k-groups,585,0.845
k-means,610,0.605
gmm,610,0.645
spectral clustering,610,0.8
kernel k-means,610,0.525
kernel k-groups,610,0.825
k-means,635,0.575
gmm,635,0.545
spectral clustering,635,0.745
kernel k-means,635,0.595
kernel k-groups,635,0.685
k-means,660,0.515
gmm,660,0.57
spectral clustering,660,0.79
kernel k-means,660,0.56
kernel k-groups,660,0.73
k-means,685,0.6
gmm,685,0.525
spectral clustering,685,0.8
kernel k-means,685,0.51
kernel k-groups,685,0.71
k-means,710,0.605
gmm,710,0.505
spectral clustering,710,0.765
kernel k-means,710,0.61
kernel k-groups,710,0.755
k-means,10,0.83
gmm,10,0.9
spectral clustering,10,0.885
kernel k-means,10,0.895
kernel k-groups,10,0.895
k-means,35,0.835
gmm,35,0.52
spectral clustering,35,0.86
kernel k-means,35,0.88
kernel k-groups,35,0.885
k-means,60,0.825
gmm,60,0.82
spectral clustering,60,0.85
kernel k-means,60,0.85
kernel k-groups,60,0.84
k-means,85,0.83
gmm,85,0.805
spectral clustering,85,0.835
kernel k-means,85,0.815
kernel k-groups,85,0.835
k-means,110,0.89
gmm,110,0.845
spectral clustering,110,0.89
kernel k-means,110,0.9
kernel k-groups,110,0.905
k-means,135,0.86
gmm,135,0.915
spectral clustering,135,0.89
kernel k-means,135,0.825
kernel k-groups,135,0.88
k-means,160,0.795
gmm,160,0.83
spectral clustering,160,0.81
kernel k-means,160,0.805
kernel k-groups,160,0.82
k-means,185,0.715
gmm,185,0.64
spectral clustering,185,0.765
kernel k-means,185,0.675
kernel k-groups,185,0.78
k-means,210,0.8
gmm,210,0.82
spectral clustering,210,0.835
kernel k-means,210,0.725
kernel k-groups,210,0.84
k-means,235,0.775
gmm,235,0.615
spectral clustering,235,0.81
kernel k-means,235,0.565
kernel k-groups,235,0.825
k-means,260,0.705
gmm,260,0.615
spectral clustering,260,0.795
kernel k-means,260,0.63
kernel k-groups,260,0.785
k-means,285,0.59
gmm,285,0.65
spectral clustering,285,0.77
kernel k-means,285,0.61
kernel k-groups,285,0.79
k-means,310,0.61
gmm,310,0.525
spectral clustering,310,0.68
kernel k-means,310,0.605
kernel k-groups,310,0.65
k-means,335,0.64
gmm,335,0.695
spectral clustering,335,0.775
kernel k-means,335,0.595
kernel k-groups,335,0.765
k-means,360,0.575
gmm,360,0.54
spectral clustering,360,0.825
kernel k-means,360,0.52
kernel k-groups,360,0.8
k-means,385,0.66
gmm,385,0.56
spectral clustering,385,0.795
kernel k-means,385,0.55
kernel k-groups,385,0.79
k-means,410,0.55
gmm,410,0.625
spectral clustering,410,0.75
kernel k-means,410,0.505
kernel k-groups,410,0.765
k-means,435,0.66
gmm,435,0.515
spectral clustering,435,0.815
kernel k-means,435,0.605
kernel k-groups,435,0.825
k-means,460,0.605
gmm,460,0.59
spectral clustering,460,0.8
kernel k-means,460,0.565
kernel k-groups,460,0.815
k-means,485,0.6
gmm,485,0.67
spectral clustering,485,0.815
kernel k-means,485,0.64
kernel k-groups,485,0.785
k-means,510,0.52
gmm,510,0.6
spectral clustering,510,0.78
kernel k-means,510,0.645
kernel k-groups,510,0.79
k-means,535,0.7
gmm,535,0.5
spectral clustering,535,0.79
kernel k-means,535,0.54
kernel k-groups,535,0.77
k-means,560,0.525
gmm,560,0.545
spectral clustering,560,0.79
kernel k-means,560,0.535
kernel k-groups,560,0.805
k-means,585,0.63
gmm,585,0.61
spectral clustering,585,0.75
kernel k-means,585,0.505
kernel k-groups,585,0.78
k-means,610,0.535
gmm,610,0.625
spectral clustering,610,0.78
kernel k-means,610,0.525
kernel k-groups,610,0.72
k-means,635,0.565
gmm,635,0.595
spectral clustering,635,0.76
kernel k-means,635,0.505
kernel k-groups,635,0.695
k-means,660,0.56
gmm,660,0.515
spectral clustering,660,0.745
kernel k-means,660,0.575
kernel k-groups,660,0.8
k-means,685,0.59
gmm,685,0.515
spectral clustering,685,0.795
kernel k-means,685,0.59
kernel k-groups,685,0.76
k-means,710,0.69
gmm,710,0.57
spectral clustering,710,0.78
kernel k-means,710,0.605
kernel k-groups,710,0.81
k-means,10,0.925
gmm,10,0.935
spectral clustering,10,0.905
kernel k-means,10,0.93
kernel k-groups,10,0.93
k-means,35,0.83
gmm,35,0.855
spectral clustering,35,0.8
kernel k-means,35,0.845
kernel k-groups,35,0.855
k-means,60,0.825
gmm,60,0.765
spectral clustering,60,0.84
kernel k-means,60,0.835
kernel k-groups,60,0.83
k-means,85,0.825
gmm,85,0.835
spectral clustering,85,0.855
kernel k-means,85,0.84
kernel k-groups,85,0.885
k-means,110,0.835
gmm,110,0.595
spectral clustering,110,0.825
kernel k-means,110,0.72
kernel k-groups,110,0.81
k-means,135,0.82
gmm,135,0.835
spectral clustering,135,0.82
kernel k-means,135,0.785
kernel k-groups,135,0.825
k-means,160,0.745
gmm,160,0.725
spectral clustering,160,0.77
kernel k-means,160,0.715
kernel k-groups,160,0.8
k-means,185,0.76
gmm,185,0.77
spectral clustering,185,0.78
kernel k-means,185,0.745
kernel k-groups,185,0.785
k-means,210,0.805
gmm,210,0.88
spectral clustering,210,0.81
kernel k-means,210,0.565
kernel k-groups,210,0.825
k-means,235,0.825
gmm,235,0.855
spectral clustering,235,0.84
kernel k-means,235,0.575
kernel k-groups,235,0.835
k-means,260,0.74
gmm,260,0.655
spectral clustering,260,0.8
kernel k-means,260,0.62
kernel k-groups,260,0.795
k-means,285,0.755
gmm,285,0.525
spectral clustering,285,0.83
kernel k-means,285,0.615
kernel k-groups,285,0.815
k-means,310,0.655
gmm,310,0.505
spectral clustering,310,0.765
kernel k-means,310,0.545
kernel k-groups,310,0.755
k-means,335,0.575
gmm,335,0.675
spectral clustering,335,0.805
kernel k-means,335,0.535
kernel k-groups,335,0.85
k-means,360,0.565
gmm,360,0.575
spectral clustering,360,0.815
kernel k-means,360,0.6
kernel k-groups,360,0.82
k-means,385,0.605
gmm,385,0.62
spectral clustering,385,0.81
kernel k-means,385,0.59
kernel k-groups,385,0.84
k-means,410,0.66
gmm,410,0.545
spectral clustering,410,0.84
kernel k-means,410,0.575
kernel k-groups,410,0.825
k-means,435,0.57
gmm,435,0.535
spectral clustering,435,0.795
kernel k-means,435,0.645
kernel k-groups,435,0.815
k-means,460,0.78
gmm,460,0.555
spectral clustering,460,0.88
kernel k-means,460,0.535
kernel k-groups,460,0.87
k-means,485,0.54
gmm,485,0.545
spectral clustering,485,0.7
kernel k-means,485,0.575
kernel k-groups,485,0.76
k-means,510,0.53
gmm,510,0.5
spectral clustering,510,0.85
kernel k-means,510,0.625
kernel k-groups,510,0.87
k-means,535,0.57
gmm,535,0.58
spectral clustering,535,0.775
kernel k-means,535,0.565
kernel k-groups,535,0.79
k-means,560,0.67
gmm,560,0.62
spectral clustering,560,0.835
kernel k-means,560,0.575
kernel k-groups,560,0.825
k-means,585,0.53
gmm,585,0.615
spectral clustering,585,0.795
kernel k-means,585,0.58
kernel k-groups,585,0.82
k-means,610,0.74
gmm,610,0.505
spectral clustering,610,0.82
kernel k-means,610,0.595
kernel k-groups,610,0.82
k-means,635,0.505
gmm,635,0.55
spectral clustering,635,0.735
kernel k-means,635,0.55
kernel k-groups,635,0.68
k-means,660,0.515
gmm,660,0.52
spectral clustering,660,0.785
kernel k-means,660,0.525
kernel k-groups,660,0.8
k-means,685,0.645
gmm,685,0.585
spectral clustering,685,0.84
kernel k-means,685,0.6
kernel k-groups,685,0.84
k-means,710,0.525
gmm,710,0.555
spectral clustering,710,0.705
kernel k-means,710,0.525
kernel k-groups,710,0.665
k-means,10,0.875
gmm,10,0.935
spectral clustering,10,0.89
kernel k-means,10,0.91
kernel k-groups,10,0.91
k-means,35,0.82
gmm,35,0.8
spectral clustering,35,0.81
kernel k-means,35,0.84
kernel k-groups,35,0.82
k-means,60,0.82
gmm,60,0.76
spectral clustering,60,0.82
kernel k-means,60,0.82
kernel k-groups,60,0.825
k-means,85,0.815
gmm,85,0.815
spectral clustering,85,0.815
kernel k-means,85,0.82
kernel k-groups,85,0.825
k-means,110,0.85
gmm,110,0.83
spectral clustering,110,0.9
kernel k-means,110,0.87
kernel k-groups,110,0.89
k-means,135,0.795
gmm,135,0.79
spectral clustering,135,0.83
kernel k-means,135,0.815
kernel k-groups,135,0.82
k-means,160,0.795
gmm,160,0.78
spectral clustering,160,0.8
kernel k-means,160,0.73
kernel k-groups,160,0.795
k-means,185,0.805
gmm,185,0.755
spectral clustering,185,0.8
kernel k-means,185,0.71
kernel k-groups,185,0.815
k-means,210,0.74
gmm,210,0.745
spectral clustering,210,0.77
kernel k-means,210,0.515
kernel k-groups,210,0.78
k-means,235,0.72
gmm,235,0.76
spectral clustering,235,0.78
kernel k-means,235,0.645
kernel k-groups,235,0.795
k-means,260,0.74
gmm,260,0.53
spectral clustering,260,0.795
kernel k-means,260,0.565
kernel k-groups,260,0.825
k-means,285,0.705
gmm,285,0.765
spectral clustering,285,0.81
kernel k-means,285,0.615
kernel k-groups,285,0.815
k-means,310,0.745
gmm,310,0.8
spectral clustering,310,0.85
kernel k-means,310,0.605
kernel k-groups,310,0.85
k-means,335,0.54
gmm,335,0.565
spectral clustering,335,0.82
kernel k-means,335,0.665
kernel k-groups,335,0.83
k-means,360,0.71
gmm,360,0.685
spectral clustering,360,0.82
kernel k-means,360,0.535
kernel k-groups,360,0.78
k-means,385,0.735
gmm,385,0.585
spectral clustering,385,0.78
kernel k-means,385,0.52
kernel k-groups,385,0.755
k-means,410,0.575
gmm,410,0.55
spectral clustering,410,0.82
kernel k-means,410,0.64
kernel k-groups,410,0.815
k-means,435,0.72
gmm,435,0.525
spectral clustering,435,0.795
kernel k-means,435,0.635
kernel k-groups,435,0.81
k-means,460,0.5
gmm,460,0.575
spectral clustering,460,0.81
kernel k-means,460,0.52
kernel k-groups,460,0.795
k-means,485,0.765
gmm,485,0.55
spectral clustering,485,0.805
kernel k-means,485,0.53
kernel k-groups,485,0.755
k-means,510,0.7
gmm,510,0.595
spectral clustering,510,0.81
kernel k-means,510,0.525
kernel k-groups,510,0.79
k-means,535,0.735
gmm,535,0.605
spectral clustering,535,0.755
kernel k-means,535,0.58
kernel k-groups,535,0.78
k-means,560,0.56
gmm,560,0.765
spectral clustering,560,0.81
kernel k-means,560,0.685
kernel k-groups,560,0.825
k-means,585,0.53
gmm,585,0.585
spectral clustering,585,0.83
kernel k-means,585,0.64
kernel k-groups,585,0.815
k-means,610,0.53
gmm,610,0.63
spectral clustering,610,0.695
kernel k-means,610,0.505
kernel k-groups,610,0.715
k-means,635,0.62
gmm,635,0.53
spectral clustering,635,0.8
kernel k-means,635,0.52
kernel k-groups,635,0.785
k-means,660,0.615
gmm,660,0.605
spectral clustering,660,0.785
kernel k-means,660,0.605
kernel k-groups,660,0.79
k-means,685,0.65
gmm,685,0.535
spectral clustering,685,0.785
kernel k-means,685,0.585
kernel k-groups,685,0.765
k-means,710,0.505
gmm,710,0.56
spectral clustering,710,0.79
kernel k-means,710,0.52
kernel k-groups,710,0.8
k-means,10,0.84
gmm,10,0.925
spectral clustering,10,0.865
kernel k-means,10,0.895
kernel k-groups,10,0.9
k-means,35,0.865
gmm,35,0.86
spectral clustering,35,0.86
kernel k-means,35,0.865
kernel k-groups,35,0.865
k-means,60,0.845
gmm,60,0.85
spectral clustering,60,0.845
kernel k-means,60,0.855
kernel k-groups,60,0.875
k-means,85,0.87
gmm,85,0.81
spectral clustering,85,0.82
kernel k-means,85,0.855
kernel k-groups,85,0.875
k-means,110,0.76
gmm,110,0.75
spectral clustering,110,0.8
kernel k-means,110,0.73
kernel k-groups,110,0.87
k-means,135,0.77
gmm,135,0.755
spectral clustering,135,0.765
kernel k-means,135,0.71
kernel k-groups,135,0.785
k-means,160,0.855
gmm,160,0.745
spectral clustering,160,0.88
kernel k-means,160,0.5
kernel k-groups,160,0.875
k-means,185,0.795
gmm,185,0.78
spectral clustering,185,0.82
kernel k-means,185,0.68
kernel k-groups,185,0.83
k-means,210,0.825
gmm,210,0.595
spectral clustering,210,0.85
kernel k-means,210,0.74
kernel k-groups,210,0.855
k-means,235,0.67
gmm,235,0.575
spectral clustering,235,0.82
kernel k-means,235,0.625
kernel k-groups,235,0.835
k-means,260,0.645
gmm,260,0.665
spectral clustering,260,0.8
kernel k-means,260,0.635
kernel k-groups,260,0.78
k-means,285,0.675
gmm,285,0.63
spectral clustering,285,0.845
kernel k-means,285,0.605
kernel k-groups,285,0.865
k-means,310,0.725
gmm,310,0.57
spectral clustering,310,0.815
kernel k-means,310,0.545
kernel k-groups,310,0.83
k-means,335,0.73
gmm,335,0.745
spectral clustering,335,0.83
kernel k-means,335,0.58
kernel k-groups,335,0.82
k-means,360,0.745
gmm,360,0.56
spectral clustering,360,0.795
kernel k-means,360,0.615
kernel k-groups,360,0.795
k-means,385,0.695
gmm,385,0.515
spectral clustering,385,0.81
kernel k-means,385,0.655
kernel k-groups,385,0.805
k-means,410,0.57
gmm,410,0.685
spectral clustering,410,0.855
kernel k-means,410,0.595
kernel k-groups,410,0.865
k-means,435,0.765
gmm,435,0.525
spectral clustering,435,0.765
kernel k-means,435,0.64
kernel k-groups,435,0.74
k-means,460,0.51
gmm,460,0.51
spectral clustering,460,0.705
kernel k-means,460,0.57
kernel k-groups,460,0.73
k-means,485,0.68
gmm,485,0.6
spectral clustering,485,0.805
kernel k-means,485,0.56
kernel k-groups,485,0.785
k-means,510,0.655
gmm,510,0.52
spectral clustering,510,0.8
kernel k-means,510,0.605
kernel k-groups,510,0.74
k-means,535,0.59
gmm,535,0.58
spectral clustering,535,0.84
kernel k-means,535,0.515
kernel k-groups,535,0.795
k-means,560,0.57
gmm,560,0.59
spectral clustering,560,0.79
kernel k-means,560,0.515
kernel k-groups,560,0.825
k-means,585,0.645
gmm,585,0.6
spectral clustering,585,0.74
kernel k-means,585,0.585
kernel k-groups,585,0.795
k-means,610,0.68
gmm,610,0.52
spectral clustering,610,0.785
kernel k-means,610,0.565
kernel k-groups,610,0.785
k-means,635,0.58
gmm,635,0.51
spectral clustering,635,0.785
kernel k-means,635,0.56
kernel k-groups,635,0.76
k-means,660,0.6
gmm,660,0.585
spectral clustering,660,0.715
kernel k-means,660,0.56
kernel k-groups,660,0.64
k-means,685,0.565
gmm,685,0.52
spectral clustering,685,0.58
kernel k-means,685,0.585
kernel k-groups,685,0.57
k-means,710,0.63
gmm,710,0.535
spectral clustering,710,0.74
kernel k-means,710,0.505
kernel k-groups,710,0.76
k-means,10,0.825
gmm,10,0.935
spectral clustering,10,0.855
kernel k-means,10,0.875
kernel k-groups,10,0.88
k-means,35,0.865
gmm,35,0.85
spectral clustering,35,0.85
kernel k-means,35,0.86
