method,num_points,accuracy
kernel k-groups,510,0.849019607843
k-means,530,0.520754716981
gmm,530,0.547169811321
kernel k-groups,530,0.852830188679
k-means,550,0.518181818182
gmm,550,0.532727272727
kernel k-groups,550,0.823636363636
k-means,570,0.501754385965
gmm,570,0.515789473684
kernel k-groups,570,0.878947368421
k-means,590,0.520338983051
gmm,590,0.508474576271
kernel k-groups,590,0.84406779661
k-means,610,0.531147540984
gmm,610,0.54262295082
kernel k-groups,610,0.845901639344
k-means,630,0.526984126984
gmm,630,0.530158730159
kernel k-groups,630,0.880952380952
k-means,650,0.510769230769
gmm,650,0.533846153846
kernel k-groups,650,0.850769230769
k-means,670,0.519402985075
gmm,670,0.526865671642
kernel k-groups,670,0.832835820896
k-means,690,0.823188405797
gmm,690,0.515942028986
kernel k-groups,690,0.860869565217
k-means,710,0.523943661972
gmm,710,0.505633802817
kernel k-groups,710,0.86338028169
k-means,730,0.506849315068
gmm,730,0.52602739726
kernel k-groups,730,0.834246575342
k-means,750,0.512
gmm,750,0.512
kernel k-groups,750,0.512
k-means,770,0.502597402597
gmm,770,0.505194805195
kernel k-groups,770,0.84025974026
k-means,790,0.532911392405
gmm,790,0.503797468354
kernel k-groups,790,0.816455696203
k-means,10,0.6
gmm,10,0.6
kernel k-groups,10,0.6
k-means,30,0.6
gmm,30,0.766666666667
kernel k-groups,30,0.866666666667
k-means,50,0.56
gmm,50,0.56
kernel k-groups,50,0.84
k-means,70,0.5
gmm,70,0.5
kernel k-groups,70,0.5
k-means,90,0.522222222222
gmm,90,0.522222222222
kernel k-groups,90,0.788888888889
k-means,110,0.545454545455
gmm,110,0.545454545455
kernel k-groups,110,0.872727272727
k-means,130,0.507692307692
gmm,130,0.507692307692
kernel k-groups,130,0.876923076923
k-means,150,0.86
gmm,150,0.786666666667
kernel k-groups,150,0.866666666667
k-means,170,0.788235294118
gmm,170,0.547058823529
kernel k-groups,170,0.847058823529
k-means,190,0.521052631579
gmm,190,0.505263157895
kernel k-groups,190,0.736842105263
k-means,210,0.533333333333
gmm,210,0.557142857143
kernel k-groups,210,0.652380952381
k-means,230,0.513043478261
gmm,230,0.539130434783
kernel k-groups,230,0.847826086957
k-means,250,0.852
gmm,250,0.8
kernel k-groups,250,0.884
k-means,270,0.507407407407
gmm,270,0.503703703704
kernel k-groups,270,0.796296296296
k-means,290,0.503448275862
gmm,290,0.503448275862
kernel k-groups,290,0.862068965517
k-means,310,0.51935483871
gmm,310,0.551612903226
kernel k-groups,310,0.525806451613
k-means,330,0.515151515152
gmm,330,0.518181818182
kernel k-groups,330,0.851515151515
k-means,350,0.511428571429
gmm,350,0.508571428571
