method,num_points,accuracy
k-means,310,0.716129032258
gmm,310,0.735483870968
kernel k-groups,310,0.735483870968
k-means,330,0.769696969697
gmm,330,0.887878787879
kernel k-groups,330,0.818181818182
k-means,350,0.794285714286
gmm,350,0.805714285714
kernel k-groups,350,0.805714285714
k-means,370,0.783783783784
gmm,370,0.9
kernel k-groups,370,0.832432432432
k-means,390,0.761538461538
gmm,390,0.866666666667
kernel k-groups,390,0.787179487179
k-means,410,0.770731707317
gmm,410,0.770731707317
kernel k-groups,410,0.792682926829
k-means,430,0.753488372093
gmm,430,0.890697674419
kernel k-groups,430,0.783720930233
k-means,450,0.704444444444
gmm,450,0.7
kernel k-groups,450,0.791111111111
k-means,470,0.808510638298
gmm,470,0.878723404255
kernel k-groups,470,0.836170212766
k-means,490,0.765306122449
gmm,490,0.885714285714
kernel k-groups,490,0.812244897959
k-means,510,0.811764705882
gmm,510,0.901960784314
kernel k-groups,510,0.835294117647
k-means,530,0.754716981132
gmm,530,0.764150943396
kernel k-groups,530,0.790566037736
k-means,550,0.798181818182
gmm,550,0.874545454545
kernel k-groups,550,0.807272727273
k-means,570,0.778947368421
gmm,570,0.889473684211
kernel k-groups,570,0.805263157895
k-means,590,0.777966101695
gmm,590,0.877966101695
kernel k-groups,590,0.801694915254
k-means,610,0.809836065574
gmm,610,0.867213114754
kernel k-groups,610,0.824590163934
k-means,630,0.780952380952
gmm,630,0.869841269841
kernel k-groups,630,0.804761904762
k-means,650,0.790769230769
gmm,650,0.793846153846
kernel k-groups,650,0.812307692308
k-means,670,0.764179104478
gmm,670,0.883582089552
kernel k-groups,670,0.829850746269
k-means,690,0.78115942029
gmm,690,0.897101449275
kernel k-groups,690,0.828985507246
k-means,710,0.795774647887
gmm,710,0.894366197183
kernel k-groups,710,0.818309859155
k-means,730,0.734246575342
gmm,730,0.852054794521
kernel k-groups,730,0.78904109589
k-means,750,0.769333333333
gmm,750,0.870666666667
kernel k-groups,750,0.788
k-means,770,0.785714285714
gmm,770,0.785714285714
kernel k-groups,770,0.809090909091
k-means,790,0.762025316456
gmm,790,0.867088607595
kernel k-groups,790,0.792405063291
k-means,10,0.8
gmm,10,0.8
kernel k-groups,10,0.8
k-means,30,0.8
gmm,30,0.8
kernel k-groups,30,0.8
k-means,50,0.8
gmm,50,0.82
kernel k-groups,50,0.8
k-means,70,0.8
gmm,70,0.8
kernel k-groups,70,0.8
k-means,90,0.811111111111
gmm,90,0.844444444444
kernel k-groups,90,0.811111111111
k-means,110,0.718181818182
gmm,110,0.827272727273
kernel k-groups,110,0.809090909091
k-means,130,0.784615384615
gmm,130,0.884615384615
kernel k-groups,130,0.807692307692
k-means,150,0.74
gmm,150,0.74
kernel k-groups,150,0.766666666667
k-means,170,0.782352941176
gmm,170,0.858823529412
kernel k-groups,170,0.794117647059
k-means,190,0.757894736842
gmm,190,0.752631578947
kernel k-groups,190,0.768421052632
k-means,210,0.719047619048
gmm,210,0.719047619048
kernel k-groups,210,0.728571428571
k-means,230,0.721739130435
gmm,230,0.834782608696
kernel k-groups,230,0.752173913043
k-means,250,0.78
gmm,250,0.86
kernel k-groups,250,0.792
k-means,270,0.733333333333
gmm,270,0.837037037037
