method,points,accuracy
k-means,110,0.818181818182
gmm,110,0.790909090909
spectral clustering $\widetilde{\rho}_1$,110,0.790909090909
kernel k-groups $\rho_{1}$,110,0.854545454545
kernel k-groups $\rho_{1/2}$,110,0.890909090909
kernel k-groups $\widetilde{\rho}_{1}$,110,0.936363636364
k-means,120,0.583333333333
gmm,120,0.675
spectral clustering $\widetilde{\rho}_1$,120,0.758333333333
kernel k-groups $\rho_{1}$,120,0.783333333333
kernel k-groups $\rho_{1/2}$,120,0.8
kernel k-groups $\widetilde{\rho}_{1}$,120,0.858333333333
k-means,130,0.646153846154
gmm,130,0.7
spectral clustering $\widetilde{\rho}_1$,130,0.661538461538
kernel k-groups $\rho_{1}$,130,0.569230769231
kernel k-groups $\rho_{1/2}$,130,0.730769230769
kernel k-groups $\widetilde{\rho}_{1}$,130,0.853846153846
k-means,140,0.714285714286
gmm,140,0.5
spectral clustering $\widetilde{\rho}_1$,140,0.807142857143
kernel k-groups $\rho_{1}$,140,0.785714285714
kernel k-groups $\rho_{1/2}$,140,0.842857142857
kernel k-groups $\widetilde{\rho}_{1}$,140,0.885714285714
k-means,150,0.626666666667
gmm,150,0.646666666667
spectral clustering $\widetilde{\rho}_1$,150,0.8
kernel k-groups $\rho_{1}$,150,0.653333333333
kernel k-groups $\rho_{1/2}$,150,0.713333333333
kernel k-groups $\widetilde{\rho}_{1}$,150,0.866666666667
k-means,160,0.7
gmm,160,0.7
spectral clustering $\widetilde{\rho}_1$,160,0.84375
kernel k-groups $\rho_{1}$,160,0.7625
kernel k-groups $\rho_{1/2}$,160,0.7625
kernel k-groups $\widetilde{\rho}_{1}$,160,0.86875
k-means,170,0.758823529412
gmm,170,0.817647058824
spectral clustering $\widetilde{\rho}_1$,170,0.882352941176
kernel k-groups $\rho_{1}$,170,0.770588235294
kernel k-groups $\rho_{1/2}$,170,0.829411764706
kernel k-groups $\widetilde{\rho}_{1}$,170,0.917647058824
k-means,180,0.666666666667
gmm,180,0.561111111111
spectral clustering $\widetilde{\rho}_1$,180,0.805555555556
kernel k-groups $\rho_{1}$,180,0.616666666667
kernel k-groups $\rho_{1/2}$,180,0.894444444444
kernel k-groups $\widetilde{\rho}_{1}$,180,0.933333333333
k-means,190,0.5
gmm,190,0.684210526316
spectral clustering $\widetilde{\rho}_1$,190,0.789473684211
kernel k-groups $\rho_{1}$,190,0.757894736842
kernel k-groups $\rho_{1/2}$,190,0.789473684211
kernel k-groups $\widetilde{\rho}_{1}$,190,0.863157894737
k-means,200,0.59
gmm,200,0.645
spectral clustering $\widetilde{\rho}_1$,200,0.515
kernel k-groups $\rho_{1}$,200,0.64
kernel k-groups $\rho_{1/2}$,200,0.635
kernel k-groups $\widetilde{\rho}_{1}$,200,0.835
k-means,210,0.62380952381
gmm,210,0.647619047619
spectral clustering $\widetilde{\rho}_1$,210,0.790476190476
kernel k-groups $\rho_{1}$,210,0.757142857143
kernel k-groups $\rho_{1/2}$,210,0.795238095238
kernel k-groups $\widetilde{\rho}_{1}$,210,0.904761904762
k-means,220,0.709090909091
gmm,220,0.772727272727
spectral clustering $\widetilde{\rho}_1$,220,0.845454545455
kernel k-groups $\rho_{1}$,220,0.754545454545
kernel k-groups $\rho_{1/2}$,220,0.768181818182
kernel k-groups $\widetilde{\rho}_{1}$,220,0.904545454545
k-means,230,0.7
gmm,230,0.765217391304
spectral clustering $\widetilde{\rho}_1$,230,0.804347826087
